歌曲ID	歌曲名	模式ID	难度	星级
314	The Monster	1	1	1
314	The Monster	1	2	2
314	The Monster	1	3	3
314	The Monster	2	2	1
314	The Monster	2	1	2
314	The Monster	2	3	2
314	The Monster	3	1	3
314	The Monster	3	2	3
314	The Monster	3	3	3
314	The Monster	4	1	1
314	The Monster	4	2	1
314	The Monster	4	3	1
314	The Monster	21	1	1
314	The Monster	21	2	2
314	The Monster	21	3	2
521	贝多芬病毒	1	1	3
521	贝多芬病毒	1	2	3
521	贝多芬病毒	1	3	3
521	贝多芬病毒	2	1	3
521	贝多芬病毒	2	2	3
521	贝多芬病毒	2	3	3
521	贝多芬病毒	3	1	3
521	贝多芬病毒	3	2	3
521	贝多芬病毒	3	3	3
521	贝多芬病毒	4	1	3
521	贝多芬病毒	4	2	3
521	贝多芬病毒	4	3	3
521	贝多芬病毒	21	1	3
521	贝多芬病毒	21	2	3
521	贝多芬病毒	21	3	3
806	克罗地亚狂想曲	1	1	3
806	克罗地亚狂想曲	1	2	3
806	克罗地亚狂想曲	1	3	3
806	克罗地亚狂想曲	2	1	3
806	克罗地亚狂想曲	2	2	3
806	克罗地亚狂想曲	2	3	3
806	克罗地亚狂想曲	3	1	2
806	克罗地亚狂想曲	3	2	2
806	克罗地亚狂想曲	3	3	3
806	克罗地亚狂想曲	4	1	3
806	克罗地亚狂想曲	4	2	3
806	克罗地亚狂想曲	4	3	3
806	克罗地亚狂想曲	13	1	2
806	克罗地亚狂想曲	13	2	3
806	克罗地亚狂想曲	13	3	3
806	克罗地亚狂想曲	21	1	3
806	克罗地亚狂想曲	21	2	3
806	克罗地亚狂想曲	21	3	3
2109	心跳时光	1	1	3
2109	心跳时光	1	2	3
2109	心跳时光	1	3	3
2109	心跳时光	2	1	2
2109	心跳时光	2	2	2
2109	心跳时光	2	3	2
2109	心跳时光	3	1	3
2109	心跳时光	3	2	3
2109	心跳时光	3	3	3
2109	心跳时光	4	1	2
2109	心跳时光	4	2	2
2109	心跳时光	4	3	2
2109	心跳时光	13	1	3
2109	心跳时光	13	2	3
2109	心跳时光	13	3	3
2109	心跳时光	21	1	2
2109	心跳时光	21	2	2
2109	心跳时光	21	3	2
2129	狐狸精	1	1	3
